Depth,Time
1,3e-06
2,3e-06
3,8e-06
4,2.5e-05
5,5.5e-05
6,0.00011
7,0.00017
8,0.000454
9,0.00078
10,0.000764
11,0.001542
12,0.00273
13,0.005543
14,0.011284
15,0.016816
16,0.035139
17,0.054207
18,0.096713
19,0.108745
20,0.205942
21,0.428386
22,0.47496
23,0.612001
24,0.632962
25,0.591198
26,0.652522
27,0.725616
28,0.682911
29,0.73564
30,0.822338
31,0.847404
32,0.776914
33,0.80196
34,0.733804
35,0.675065
36,0.6335
37,0.567383
38,0.495081
39,0.437034
40,0.372221
41,0.329292
42,0.285313
43,0.231156
44,0.187637
45,0.155607
46,0.129453
47,0.105111
48,0.085025
49,0.070996
50,0.05751
51,0.045427
52,0.037013
53,0.029761
54,0.023074
55,0.018579
56,0.014047
57,0.009018
58,0.006725
59,0.005404
60,0.004235
61,0.003248
62,0.002617
63,0.002019
64,0.001555
65,0.00119
66,0.000967
67,0.000769
68,0.000548
69,0.00045
70,0.000369
71,0.000265
72,0.000193
73,0.000134
74,8.7e-05
75,5.1e-05
76,4.1e-05
77,3.1e-05
78,2.2e-05
79,1.5e-05
80,1.2e-05
81,1.1e-05
82,5.999999999e-06
83,5e-06
84,6.000000001e-06
85,5.999999999e-06
86,1.3e-05
87,7e-06
