Depth,Time
1,3e-06
2,3e-06
3,8e-06
4,1.5e-05
5,2.7e-05
6,2.9e-05
7,5.1e-05
8,7e-05
9,0.00015
10,0.000267
11,0.000368
12,0.000723
13,0.000913
14,0.001292
15,0.001912
16,0.002999
17,0.004156
18,0.004439
19,0.004283
20,0.003483
21,0.003842
22,0.003794
23,0.003716
24,0.003839
25,0.003847
26,0.003192
27,0.002579
28,0.002307
29,0.001923
30,0.001705
31,0.001455
32,0.001271
33,0.001122
34,0.000931
35,0.00094
36,0.000621
37,0.000497
38,0.000427
39,0.000318
40,0.000211
41,0.000155
42,0.000114
43,7.5e-05
44,4.8e-05
45,3.6e-05
46,3.2e-05
47,2.2e-05
48,1.7e-05
49,1.4e-05
50,2e-05
51,1.5e-05
52,1.3e-05
53,1.5e-05
54,1e-05
55,8e-06
56,1.5e-05
57,7e-06
58,8e-06
59,6e-06
60,6e-06
