Depth,Time
1,4e-06
2,5e-06
3,2.3e-05
4,3.4e-05
5,8.5e-05
6,0.000165
7,0.000348
8,0.000625
9,0.001542
10,0.002725
11,0.00474
12,0.00979
13,0.01212
14,0.032207
15,0.064102
16,0.096891
17,0.254199
18,0.325788
19,0.595207
20,1.327979
21,2.609142
22,4.081924
23,7.764394
24,9.436491
25,15.806693
26,24.071174
27,50.574231
28,98.258643
29,106.840123
30,186.332498
31,229.83416
32,181.831169
33,157.236512
34,383.083759
35,343.655836
36,396.675591
37,324.869693
38,346.189329
39,332.015886
40,302.777429
41,272.350957
42,220.184814
43,187.789548
44,158.846955
45,129.882468
46,105.278904
47,83.031742
48,64.783533
49,50.236443
50,38.925535
51,29.964694
52,24.381001
53,17.781604
54,13.927044
55,10.876054
56,8.648896
57,6.900705
58,5.537318
59,4.463731
60,3.552009
61,2.833547
62,2.259313
63,1.811985
64,1.451926
65,1.160564
66,0.925087
67,0.737042
68,0.58318
69,0.457611
70,0.356656
71,0.280087
72,0.215637
73,0.165519
74,0.130141
75,0.099042
76,0.074292
77,0.055821
78,0.042084
79,0.031039
80,0.022542
81,0.015896
82,0.011599
83,0.008290000001
84,0.005045999999
85,0.002923
86,0.002029
87,0.001589
88,0.001221
89,0.0008070000003
90,0.0005179999998
91,0.0004049999998
92,0.0002960000002
93,0.0002359999999
94,0.0001430000002
95,0.0001000000002
96,4.999999965e-05
97,1.799999973e-05
98,1.400000019e-05
99,6.000000212e-06
100,6.999999641e-06
101,7.000000551e-06
102,7.99999998e-06
