Depth,Time
1,2.7e-05
2,3e-06
3,7e-06
4,2.2e-05
5,4.2e-05
6,0.0001
7,0.000113
8,0.000333
9,0.000615
10,0.000606
11,0.001166
12,0.00185
13,0.004025
14,0.006993
15,0.009147
16,0.022865
17,0.037864
18,0.062558
19,0.065706
20,0.125751
21,0.211372
22,0.351904
23,0.297101
24,0.429123
25,0.455973
26,0.395439
27,0.483959
28,0.47734
29,0.417423
30,0.385576
31,0.480101
32,0.474418
33,0.467788
34,0.462496
35,0.418281
36,0.401456
37,0.365818
38,0.328654
39,0.301997
40,0.257175
41,0.218265
42,0.184618
43,0.152119
44,0.128321
45,0.106542
46,0.089187
47,0.073204
48,0.060088
49,0.048922
50,0.040094
51,0.032411
52,0.026511
53,0.021019
54,0.016385
55,0.011525
56,0.00807
57,0.006573
58,0.005313
59,0.004292
60,0.003281
61,0.002621
62,0.002166
63,0.001745
64,0.001482
65,0.001043
66,0.000889
67,0.000633
68,0.000526
69,0.000453
70,0.000305
71,0.000231
72,0.000189
73,0.000157
74,0.000119
75,9.1e-05
76,7.9e-05
77,6.4e-05
78,5.8e-05
79,4.6e-05
80,2.8e-05
81,1.9e-05
82,1.2e-05
83,1.4e-05
84,5.999999999e-06
85,6.000000001e-06
86,5e-06
