Depth,Time
1,2e-06
2,3e-06
3,7e-06
4,2.4e-05
5,5.2e-05
6,0.000108
7,0.000157
8,0.000431
9,0.000738
10,0.00073
11,0.001434
12,0.002619
13,0.005352
14,0.01062
15,0.015845
16,0.033927
17,0.052309
18,0.09403
19,0.103836
20,0.198704
21,0.409449
22,0.449173
23,0.578357
24,0.602702
25,0.560063
26,0.62479
27,0.688735
28,0.64983
29,0.703475
30,0.786877
31,0.807434
32,0.738238
33,0.769391
34,0.701429
35,0.649426
36,0.614869
37,0.542696
38,0.466578
39,0.417837
40,0.354291
41,0.301453
42,0.25657
43,0.215612
44,0.181143
45,0.149756
46,0.123624
47,0.099098
48,0.080264
49,0.066244
50,0.05463
51,0.043366
52,0.035335
53,0.0283
54,0.0219
55,0.017701
56,0.014254
57,0.010746
58,0.006946
59,0.005211
60,0.003978
61,0.003142
62,0.002574
63,0.001958
64,0.00154
65,0.001151
66,0.000938
67,0.000749
68,0.000536
69,0.00043
70,0.000355
71,0.000262
72,0.000179
73,0.000126
74,8.1e-05
75,4.7e-05
76,3.9e-05
77,2.9e-05
78,2.2e-05
79,1.5e-05
80,1.1e-05
81,1.1e-05
82,5.999999999e-06
83,1.2e-05
84,6.000000001e-06
85,5e-06
86,5e-06
87,7e-06
